Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
JB C,CYCLING,01/12/2022,13:37:29,01:49:04,15.10,147,,,,,1500,14,,,,,,,,,,,,187,,,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
1,00:00:00,126,,,,,,,,,
,00:00:01,126,,,,,,,,,
,00:00:02,126,,,,,,,,,
,00:00:03,126,,,,,,,,,
,00:00:04,126,,,,,,,,,
,00:00:05,127,,,,,,,,,
,00:00:06,127,,,,,,,,,
,00:00:07,128,,,,,,,,,
,00:00:08,128,,,,,,,,,
,00:00:09,129,,,,,,,,,
,00:00:10,129,,,,,,,,,
,00:00:11,130,,,,,,,,,
,00:00:12,130,,,,,,,,,
,00:00:13,131,,,,,,,,,
,00:00:14,131,,,,,,,,,
,00:00:15,132,,,,,,,,,
,00:00:16,132,,,,,,,,,
,00:00:17,133,,,,,,,,,
,00:00:18,134,,,,,,,,,
,00:00:19,135,,,,,,,,,
,00:00:20,136,,,,,,,,,
,00:00:21,137,,,,,,,,,
,00:00:22,137,,,,,,,,,
,00:00:23,137,,,,,,,,,
,00:00:24,137,,,,,,,,,
,00:00:25,137,,,,,,,,,
,00:00:26,137,,,,,,,,,
,00:00:27,137,,,,,,,,,
,00:00:28,137,,,,,,,,,
,00:00:29,137,,,,,,,,,
,00:00:30,137,,,,,,,,,
,00:00:31,137,,,,,,,,,
,00:00:32,137,,,,,,,,,
,00:00:33,137,,,,,,,,,
,00:00:34,137,,,,,,,,,
,00:00:35,137,,,,,,,,,
,00:00:36,137,,,,,,,,,
,00:00:37,137,,,,,,,,,
,00:00:38,136,,,,,,,,,
,00:00:39,135,,,,,,,,,
,00:00:40,134,,,,,,,,,
,00:00:41,133,,,,,,,,,
,00:00:42,133,,,,,,,,,
,00:00:43,133,,,,,,,,,
,00:00:44,132,,,,,,,,,
,00:00:45,129,,,,,,,,,
,00:00:46,125,,,,,,,,,
,00:00:47,124,,,,,,,,,
,00:00:48,124,,,,,,,,,
,00:00:49,126,,,,,,,,,
,00:00:50,127,,,,,,,,,
,00:00:51,126,,,,,,,,,
,00:00:52,126,,,,,,,,,
,00:00:53,127,,,,,,,,,
,00:00:54,127,,,,,,,,,
,00:00:55,129,,,,,,,,,
,00:00:56,131,,,,,,,,,
,00:00:57,133,,,,,,,,,
,00:00:58,135,,,,,,,,,
,00:00:59,138,,,,,,,,,
,00:01:00,138,,,,,,,,,
,00:01:01,140,,,,,,,,,
,00:01:02,142,,,,,,,,,
,00:01:03,144,,,,,,,,,
,00:01:04,146,,,,,,,,,
,00:01:05,146,,,,,,,,,
,00:01:06,145,,,,,,,,,
,00:01:07,144,,,,,,,,,
,00:01:08,144,,,,,,,,,
,00:01:09,141,,,,,,,,,
,00:01:10,136,,,,,,,,,
,00:01:11,135,,,,,,,,,
,00:01:12,134,,,,,,,,,
,00:01:13,134,,,,,,,,,
,00:01:14,134,,,,,,,,,
,00:01:15,134,,,,,,,,,
,00:01:16,135,,,,,,,,,
,00:01:17,135,,,,,,,,,
,00:01:18,134,,,,,,,,,
,00:01:19,134,,,,,,,,,
,00:01:20,134,,,,,,,,,
,00:01:21,134,,,,,,,,,
,00:01:22,133,,,,,,,,,
,00:01:23,133,,,,,,,,,
,00:01:24,133,,,,,,,,,
,00:01:25,134,,,,,,,,,
,00:01:26,135,,,,,,,,,
,00:01:27,135,,,,,,,,,
,00:01:28,135,,,,,,,,,
,00:01:29,136,,,,,,,,,
,00:01:30,136,,,,,,,,,
,00:01:31,136,,,,,,,,,
,00:01:32,136,,,,,,,,,
,00:01:33,136,,,,,,,,,
,00:01:34,136,,,,,,,,,
,00:01:35,136,,,,,,,,,
,00:01:36,137,,,,,,,,,
,00:01:37,137,,,,,,,,,
,00:01:38,136,,,,,,,,,
,00:01:39,136,,,,,,,,,
,00:01:40,136,,,,,,,,,
,00:01:41,136,,,,,,,,,
,00:01:42,136,,,,,,,,,
,00:01:43,136,,,,,,,,,
,00:01:44,136,,,,,,,,,
,00:01:45,136,,,,,,,,,
,00:01:46,136,,,,,,,,,
,00:01:47,136,,,,,,,,,
,00:01:48,137,,,,,,,,,
,00:01:49,137,,,,,,,,,
,00:01:50,137,,,,,,,,,
,00:01:51,136,,,,,,,,,
,00:01:52,135,,,,,,,,,
,00:01:53,135,,,,,,,,,
,00:01:54,135,,,,,,,,,
,00:01:55,136,,,,,,,,,
,00:01:56,136,,,,,,,,,
,00:01:57,137,,,,,,,,,
,00:01:58,137,,,,,,,,,
,00:01:59,138,,,,,,,,,
,00:02:00,138,,,,,,,,,
,00:02:01,139,,,,,,,,,
,00:02:02,140,,,,,,,,,
,00:02:03,140,,,,,,,,,
,00:02:04,140,,,,,,,,,
,00:02:05,140,,,,,,,,,
,00:02:06,140,,,,,,,,,
,00:02:07,140,,,,,,,,,
,00:02:08,140,,,,,,,,,
,00:02:09,141,,,,,,,,,
,00:02:10,141,,,,,,,,,
,00:02:11,142,,,,,,,,,
,00:02:12,142,,,,,,,,,
,00:02:13,143,,,,,,,,,
,00:02:14,144,,,,,,,,,
,00:02:15,144,,,,,,,,,
,00:02:16,145,,,,,,,,,
,00:02:17,146,,,,,,,,,
,00:02:18,146,,,,,,,,,
,00:02:19,146,,,,,,,,,
,00:02:20,146,,,,,,,,,
,00:02:21,146,,,,,,,,,
,00:02:22,146,,,,,,,,,
,00:02:23,146,,,,,,,,,
,00:02:24,147,,,,,,,,,
,00:02:25,146,,,,,,,,,
,00:02:26,146,,,,,,,,,
,00:02:27,146,,,,,,,,,
,00:02:28,147,,,,,,,,,
,00:02:29,148,,,,,,,,,
,00:02:30,148,,,,,,,,,
,00:02:31,148,,,,,,,,,
,00:02:32,149,,,,,,,,,
,00:02:33,149,,,,,,,,,
,00:02:34,149,,,,,,,,,
,00:02:35,149,,,,,,,,,
,00:02:36,149,,,,,,,,,
,00:02:37,149,,,,,,,,,
,00:02:38,149,,,,,,,,,
,00:02:39,149,,,,,,,,,
,00:02:40,149,,,,,,,,,
,00:02:41,149,,,,,,,,,
,00:02:42,149,,,,,,,,,
,00:02:43,150,,,,,,,,,
,00:02:44,150,,,,,,,,,
,00:02:45,150,,,,,,,,,
,00:02:46,150,,,,,,,,,
,00:02:47,150,,,,,,,,,
,00:02:48,150,,,,,,,,,
,00:02:49,150,,,,,,,,,
,00:02:50,149,,,,,,,,,
,00:02:51,149,,,,,,,,,
,00:02:52,149,,,,,,,,,
,00:02:53,148,,,,,,,,,
,00:02:54,148,,,,,,,,,
,00:02:55,148,,,,,,,,,
,00:02:56,147,,,,,,,,,
,00:02:57,147,,,,,,,,,
,00:02:58,148,,,,,,,,,
,00:02:59,148,,,,,,,,,
,00:03:00,148,,,,,,,,,
,00:03:01,149,,,,,,,,,
,00:03:02,149,,,,,,,,,
,00:03:03,149,,,,,,,,,
,00:03:04,149,,,,,,,,,
,00:03:05,149,,,,,,,,,
,00:03:06,148,,,,,,,,,
,00:03:07,148,,,,,,,,,
,00:03:08,148,,,,,,,,,
,00:03:09,148,,,,,,,,,
,00:03:10,149,,,,,,,,,
,00:03:11,149,,,,,,,,,
,00:03:12,149,,,,,,,,,
,00:03:13,149,,,,,,,,,
,00:03:14,150,,,,,,,,,
,00:03:15,150,,,,,,,,,
,00:03:16,150,,,,,,,,,
,00:03:17,150,,,,,,,,,
,00:03:18,150,,,,,,,,,
,00:03:19,150,,,,,,,,,
